source_dataset,target_dataset,age_kl_nats,sex_kl_nats,demographic_kl_nats,ps_threshold_nats,PS,DS,LS,shift_vector,weight_w_ij,source_age_n,target_age_n,source_sex_n,target_sex_n,source_metadata_basis,target_metadata_basis,ds_reason,ls_reason
PTB-XL,MIMIC-IV-ECG,0.032186,0.001985,0.034171,0.10,0,0,1,"(0,0,1)",3,21508,795545,21801,795545,record-level PTB-XL v1.0.2 metadata,published full-cohort aggregate over 800034 ECGs; not the 50000-record benchmark manifest,same sampling rate; undocumented hardware is not treated as different,SCP-ECG vs machine-report text
PTB-XL,CPSC2018,0.016754,0.006922,0.023675,0.10,0,0,1,"(0,0,1)",3,21508,6868,21801,6877,record-level PTB-XL v1.0.2 metadata,record-level PhysioNet Challenge 2020 WFDB headers,same sampling rate; undocumented hardware is not treated as different,SCP-ECG vs CPSC custom 9-class
PTB-XL,Georgia 12-Lead,0.002617,0.006632,0.009249,0.10,0,0,1,"(0,0,1)",3,21508,10267,21801,10344,record-level PTB-XL v1.0.2 metadata,record-level PhysioNet Challenge 2020 WFDB headers,same sampling rate; undocumented hardware is not treated as different,SCP-ECG vs SNOMED-CT
PTB-XL,CODE-15%,0.075741,0.011978,0.087719,0.10,0,1,1,"(0,1,1)",5,21508,345779,21801,345779,record-level PTB-XL v1.0.2 metadata,record-level CODE-15% exams.csv metadata,sampling rate differs (500 vs 400 Hz),SCP-ECG vs CODE custom binary labels
MIMIC-IV-ECG,PTB-XL,0.034490,0.001986,0.036476,0.10,0,0,1,"(0,0,1)",3,795545,21508,795545,21801,published full-cohort aggregate over 800034 ECGs; not the 50000-record benchmark manifest,record-level PTB-XL v1.0.2 metadata,same sampling rate; undocumented hardware is not treated as different,machine-report text vs SCP-ECG
MIMIC-IV-ECG,CPSC2018,0.018094,0.001492,0.019586,0.10,0,0,1,"(0,0,1)",3,795545,6868,795545,6877,published full-cohort aggregate over 800034 ECGs; not the 50000-record benchmark manifest,record-level PhysioNet Challenge 2020 WFDB headers,same sampling rate; undocumented hardware is not treated as different,machine-report text vs CPSC custom 9-class
MIMIC-IV-ECG,Georgia 12-Lead,0.040979,0.001359,0.042339,0.10,0,0,1,"(0,0,1)",3,795545,10267,795545,10344,published full-cohort aggregate over 800034 ECGs; not the 50000-record benchmark manifest,record-level PhysioNet Challenge 2020 WFDB headers,same sampling rate; undocumented hardware is not treated as different,machine-report text vs SNOMED-CT
MIMIC-IV-ECG,CODE-15%,0.136926,0.023764,0.160689,0.10,1,1,1,"(1,1,1)",6,795545,345779,795545,345779,published full-cohort aggregate over 800034 ECGs; not the 50000-record benchmark manifest,record-level CODE-15% exams.csv metadata,sampling rate differs (500 vs 400 Hz),machine-report text vs CODE custom binary labels
CPSC2018,PTB-XL,0.017333,0.006912,0.024246,0.10,0,0,1,"(0,0,1)",3,6868,21508,6877,21801,record-level PhysioNet Challenge 2020 WFDB headers,record-level PTB-XL v1.0.2 metadata,same sampling rate; undocumented hardware is not treated as different,CPSC custom 9-class vs SCP-ECG
CPSC2018,MIMIC-IV-ECG,0.020112,0.001490,0.021601,0.10,0,0,1,"(0,0,1)",3,6868,795545,6877,795545,record-level PhysioNet Challenge 2020 WFDB headers,published full-cohort aggregate over 800034 ECGs; not the 50000-record benchmark manifest,same sampling rate; undocumented hardware is not treated as different,CPSC custom 9-class vs machine-report text
